scenario_id,fleet_size,hotpatch_delivery_success,hotpatch_delivery_delay_h,ota_rollout_duration_days,attack_attempt_level,attack_attempt_rate_per_vehicle_day,rollback_failure_rate,effective_hotpatch_success,ota_only_exposure_vehicle_days,hotpatch_first_exposure_vehicle_days,exposure_reduction_vehicle_days,exposure_reduction_fraction,ota_only_expected_attack_attempts,hotpatch_first_expected_attack_attempts,ota_only_expected_successful_attacks,hotpatch_first_expected_successful_attacks,attack_success_probability,model
FS0214,100,0.85,6,60,high,0.2000,0.00,0.850000,3000.000000,471.205729,2528.794271,0.842931,600.000000,94.241146,464.400000,72.942647,0.774000,uniform_ota_closed_form_expectation
FS0215,100,0.85,6,60,high,0.2000,0.01,0.841500,3000.000000,496.493672,2503.506328,0.834502,600.000000,99.298734,464.400000,76.857220,0.774000,uniform_ota_closed_form_expectation
FS0216,100,0.85,6,60,high,0.2000,0.05,0.807500,3000.000000,597.645443,2402.354557,0.800785,600.000000,119.529089,464.400000,92.515515,0.774000,uniform_ota_closed_form_expectation
FS0217,100,0.85,24,7,low,0.0100,0.00,0.850000,350.000000,131.428571,218.571429,0.624490,3.500000,1.314286,2.709000,1.017257,0.774000,uniform_ota_closed_form_expectation
FS0218,100,0.85,24,7,low,0.0100,0.01,0.841500,350.000000,133.614286,216.385714,0.618245,3.500000,1.336143,2.709000,1.034175,0.774000,uniform_ota_closed_form_expectation
FS0219,100,0.85,24,7,low,0.0100,0.05,0.807500,350.000000,142.357143,207.642857,0.593265,3.500000,1.423571,2.709000,1.101844,0.774000,uniform_ota_closed_form_expectation
FS0220,100,0.85,24,7,medium,0.0500,0.00,0.850000,350.000000,131.428571,218.571429,0.624490,17.500000,6.571429,13.545000,5.086286,0.774000,uniform_ota_closed_form_expectation
FS0221,100,0.85,24,7,medium,0.0500,0.01,0.841500,350.000000,133.614286,216.385714,0.618245,17.500000,6.680714,13.545000,5.170873,0.774000,uniform_ota_closed_form_expectation
FS0222,100,0.85,24,7,medium,0.0500,0.05,0.807500,350.000000,142.357143,207.642857,0.593265,17.500000,7.117857,13.545000,5.509221,0.774000,uniform_ota_closed_form_expectation
FS0223,100,0.85,24,7,high,0.2000,0.00,0.850000,350.000000,131.428571,218.571429,0.624490,70.000000,26.285714,54.180000,20.345143,0.774000,uniform_ota_closed_form_expectation
FS0224,100,0.85,24,7,high,0.2000,0.01,0.841500,350.000000,133.614286,216.385714,0.618245,70.000000,26.722857,54.180000,20.683491,0.774000,uniform_ota_closed_form_expectation
