trial,step,before_latency_ms,after_latency_ms,delta_after_minus_before_ms
74,session_reset,2.930916,2.870782,-0.060134
74,write_target,3.062288,3.117952,0.055664
75,enter_extended_session,3.052650,2.971354,-0.081296
75,read_target_after,3.067526,3.227884,0.160358
75,read_target_before,3.074511,3.086524,0.012013
75,request_security_seed,3.089946,3.632268,0.542322
75,send_security_key,3.000967,2.540919,-0.460048
75,session_reset,2.576678,2.982390,0.405712
75,write_target,3.064035,3.062010,-0.002025
76,enter_extended_session,3.058517,3.091622,0.033105
76,read_target_after,2.988745,3.139953,0.151208
76,read_target_before,3.029673,3.051812,0.022139
76,request_security_seed,3.133876,3.057818,-0.076058
76,send_security_key,3.021570,2.982040,-0.039530
76,session_reset,2.964999,2.725092,-0.239907
76,write_target,3.097349,3.084778,-0.012571
77,enter_extended_session,3.122492,3.186188,0.063696
77,read_target_after,2.981900,2.999501,0.017601
77,read_target_before,3.030860,3.040777,0.009917
77,request_security_seed,3.028694,2.959412,-0.069282
77,send_security_key,3.038263,3.048110,0.009847
77,session_reset,2.963043,2.893341,-0.069702
77,write_target,3.182067,3.101330,-0.080737
78,enter_extended_session,3.058517,3.144283,0.085766
78,read_target_after,3.066479,2.990491,-0.075988
78,read_target_before,3.052301,3.014447,-0.037854
78,request_security_seed,3.054675,2.788578,-0.266097
78,send_security_key,3.093787,2.995869,-0.097918
78,session_reset,2.871131,3.026390,0.155259
78,write_target,3.010186,3.172709,0.162523
79,enter_extended_session,3.158181,3.067037,-0.091144
79,read_target_after,3.042174,2.948865,-0.093309
79,read_target_before,2.998244,3.001456,0.003212
79,request_security_seed,2.893062,3.075139,0.182077
79,send_security_key,3.076048,3.035818,-0.040230
79,session_reset,2.951030,2.904656,-0.046374
79,write_target,2.258548,3.107616,0.849068
80,enter_extended_session,3.093787,3.039381,-0.054406
80,read_target_after,3.057400,3.007742,-0.049658
80,read_target_before,3.036866,3.099933,0.063067
80,request_security_seed,3.056980,3.056073,-0.000907
80,send_security_key,3.087990,3.025831,-0.062159
80,session_reset,3.012840,3.017730,0.004890
80,write_target,3.062359,3.083520,0.021161
81,enter_extended_session,3.086384,2.936573,-0.149811
81,read_target_after,3.067876,3.267135,0.199259
81,read_target_before,3.142816,3.131712,-0.011104
81,request_security_seed,3.057889,3.024993,-0.032896
81,send_security_key,3.042104,2.889081,-0.153023
81,session_reset,2.944046,3.056352,0.112306
81,write_target,3.047342,2.959831,-0.087511
82,enter_extended_session,3.078282,2.783759,-0.294523
82,read_target_after,3.108454,3.050904,-0.057550
82,read_target_before,3.066479,3.141839,0.075360
82,request_security_seed,3.067666,3.181019,0.113353
82,send_security_key,3.057539,2.836490,-0.221049
82,session_reset,2.877975,2.809670,-0.068305
82,write_target,2.987348,3.074581,0.087233
83,enter_extended_session,2.990141,3.116835,0.126694
83,read_target_after,3.013749,3.047273,0.033524
83,read_target_before,3.020453,3.128988,0.108535
83,request_security_seed,3.098047,3.041546,-0.056501
83,send_security_key,3.076257,3.065781,-0.010476
83,session_reset,2.975266,2.858001,-0.117265
83,write_target,3.092251,3.021152,-0.071099
84,enter_extended_session,3.066619,3.091133,0.024514
84,read_target_after,3.010745,3.215033,0.204288
84,read_target_before,2.911360,2.934269,0.022909
84,request_security_seed,3.107336,3.009837,-0.097499
84,send_security_key,3.158949,3.270837,0.111888
84,session_reset,2.903608,2.924211,0.020603
84,write_target,3.087641,3.079400,-0.008241
85,enter_extended_session,3.096441,3.102587,0.006146
85,read_target_after,3.152384,3.135134,-0.017250
85,read_target_before,3.037355,3.006275,-0.031080
85,request_security_seed,3.051533,3.062149,0.010616
85,send_security_key,3.043152,3.100283,0.057131
85,session_reset,2.991539,2.830414,-0.161125
85,write_target,3.008860,2.985113,-0.023747
86,enter_extended_session,3.047413,3.055794,0.008381
86,read_target_after,3.142257,3.093229,-0.049028
86,read_target_before,3.040148,3.098258,0.058110
86,request_security_seed,3.056073,3.081635,0.025562
86,send_security_key,3.007323,3.074511,0.067188
86,session_reset,2.855277,2.950751,0.095474
86,write_target,2.978408,3.126962,0.148554
87,enter_extended_session,3.121793,3.151198,0.029405
87,read_target_after,3.026180,3.054187,0.028007
87,read_target_before,3.041685,2.985323,-0.056362
87,request_security_seed,3.042174,3.047412,0.005238
87,send_security_key,3.024504,3.061660,0.037156
87,session_reset,2.894249,2.843684,-0.050565
87,write_target,3.075069,3.117952,0.042883
88,enter_extended_session,3.135134,3.139394,0.004260
88,read_target_after,2.972052,3.091692,0.119640
88,read_target_before,3.148473,3.028206,-0.120267
88,request_security_seed,3.114600,3.491258,0.376658
88,send_security_key,3.014028,2.635764,-0.378264
88,session_reset,2.950471,2.844382,-0.106089
88,write_target,3.010187,3.059914,0.049727
89,enter_extended_session,3.078282,3.120048,0.041766
89,read_target_after,2.879163,3.045946,0.166783
89,read_target_before,2.992796,3.150289,0.157493
89,request_security_seed,3.104613,3.110270,0.005657
89,send_security_key,3.156295,3.072905,-0.083390
89,session_reset,2.898021,2.819658,-0.078363
89,write_target,3.275516,2.861214,-0.414302
90,enter_extended_session,3.156645,3.087781,-0.068864
90,read_target_after,2.988046,2.979037,-0.009009
90,read_target_before,2.660628,2.998523,0.337895
90,request_security_seed,3.008999,3.005787,-0.003212
90,send_security_key,3.468419,3.088410,-0.380009
90,session_reset,2.934269,2.925608,-0.008661
90,write_target,3.156156,3.104613,-0.051543
91,enter_extended_session,3.134645,3.127032,-0.007613
91,read_target_after,3.027507,3.029742,0.002235
91,read_target_before,3.044060,3.213147,0.169087
91,request_security_seed,3.074092,3.046015,-0.028077
91,send_security_key,3.097000,3.036447,-0.060553
91,session_reset,3.028765,2.885868,-0.142897
91,write_target,3.045178,2.879442,-0.165736
92,enter_extended_session,3.027298,3.071648,0.044350
92,read_target_after,3.028485,2.884960,-0.143525
92,read_target_before,3.012072,3.058866,0.046794
92,request_security_seed,3.057330,3.033794,-0.023536
92,send_security_key,3.064105,3.141419,0.077314
92,session_reset,2.860236,2.721251,-0.138985
92,write_target,3.033165,3.233192,0.200027
93,enter_extended_session,3.084637,2.826922,-0.257715
93,read_target_after,3.032746,3.077933,0.045187
93,read_target_before,3.212309,2.963253,-0.249056
93,request_security_seed,3.030022,3.076956,0.046934
93,send_security_key,3.072416,3.102727,0.030311
93,session_reset,2.922116,3.004390,0.082274
93,write_target,2.931404,3.204137,0.272733
94,enter_extended_session,3.057888,3.167541,0.109653
94,read_target_after,3.124797,3.039869,-0.084928
94,read_target_before,3.016333,3.080447,0.064114
94,request_security_seed,3.136531,2.989932,-0.146599
94,send_security_key,2.962904,3.080028,0.117124
94,session_reset,2.861074,2.859119,-0.001955
94,write_target,3.053837,3.042523,-0.011314
95,enter_extended_session,3.081495,3.063476,-0.018019
95,read_target_after,3.124029,3.041056,-0.082973
95,read_target_before,3.066759,2.990142,-0.076617
95,request_security_seed,3.031977,3.084149,0.052172
95,send_security_key,3.003551,3.110410,0.106859
95,session_reset,2.986789,2.950123,-0.036666
95,write_target,2.987417,3.088061,0.100644
96,enter_extended_session,3.020872,3.275795,0.254923
96,read_target_after,2.624170,2.827480,0.203310
96,read_target_before,3.079260,3.024714,-0.054546
96,request_security_seed,3.139325,2.863309,-0.276016
96,send_security_key,2.996637,2.762736,-0.233901
96,session_reset,3.003621,2.834813,-0.168808
96,write_target,3.095672,3.233751,0.138079
97,enter_extended_session,3.115997,3.072695,-0.043302
97,read_target_after,2.896135,2.922326,0.026191
97,read_target_before,2.999850,3.087851,0.088001
97,request_security_seed,3.076885,3.063895,-0.012990
97,send_security_key,3.056840,3.037495,-0.019345
97,session_reset,2.912827,2.948027,0.035200
97,write_target,3.176619,3.144633,-0.031986
98,enter_extended_session,3.076955,2.988117,-0.088838
98,read_target_after,3.226696,3.052511,-0.174185
98,read_target_before,2.810997,2.987279,0.176282
