run_id,trial,patch_trigger_ns,validation_complete_ns,scheduled_ns,patch_active_ns,first_protected_request_ns,first_protected_response_ns,rollback_start_ns,rollback_complete_ns,activation_latency_ms,validation_rtt_ms,scheduling_rtt_ms,application_rtt_ms,rollback_latency_ms,protected_response,protected,measurement_scope,pre_activation_warmup_response,task_period_us,task_jitter_us,cpu_load_pct,bus_load_pct,runtime_telemetry_status
patch_activation_20260710,86,2630767044354,2630769829422,2630773706671,2630777615907,2630790512344,2630793334707,2630793376054,2631189891072,10.571553,2.785068,2.786884,2.811677,396.515018,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,87,2632340071108,2632342825306,2632346752701,2632350648877,2632363534349,2632366371100,2632366414472,2632769535241,10.577769,2.754198,2.829138,2.792052,403.120769,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,88,2633903659996,2633906452607,2633910290396,2633914216254,2633927200761,2633929938896,2633929993093,2634329869663,10.556258,2.792611,2.728567,2.766769,399.876570,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,89,2635489246667,2635491996954,2635495922673,2635499943866,2635512748601,2635515592755,2635515649117,2635906465576,10.697199,2.750287,2.740928,2.881729,390.816459,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,90,2637045389661,2637048163345,2637052116722,2637055998511,2637068976593,2637071766900,2637071817954,2637457638240,10.608850,2.773684,2.860707,2.783253,385.820286,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,91,2638595749805,2638598576918,2638602372244,2638606268211,2638619144045,2638621981774,2638622041837,2639022764971,10.518406,2.827113,2.700980,2.779412,400.723134,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,92,2640162685936,2640165410801,2640169257809,2640173195123,2640186071306,2640188880470,2640188921327,2640597327589,10.509187,2.724865,2.741696,2.829488,408.406262,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,93,2641727822415,2641730618658,2641734545634,2641738485951,2641751298020,2641754151324,2641754186454,2642138896556,10.663536,2.796243,2.815938,2.846250,384.710102,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,94,2643276605324,2643279290869,2643283200385,2643287149641,2643299997819,2643302820672,2643302871027,2643685605739,10.544317,2.685545,2.745049,2.838776,382.734712,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,95,2644841964641,2644844783792,2644848641556,2644852609599,2644865470418,2644868242077,2644868281747,2645244938440,10.644958,2.819151,2.752173,2.836751,376.656693,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,96,2646394430545,2646397238731,2646401089232,2646405019142,2646417922774,2646420748909,2646420804713,2646828887351,10.588597,2.808186,2.740161,2.832142,408.082638,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,97,2647969024694,2647971719528,2647975622828,2647979488834,2647992416352,2647995255827,2647995310233,2648397139343,10.464140,2.694834,2.799735,2.715437,401.829110,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,98,2649531433834,2649534227074,2649538111727,2649542025784,2649554902457,2649557726847,2649557767494,2649947922464,10.591950,2.793240,2.763836,2.819291,390.154970,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,99,2651095425393,2651098230297,2651102153223,2651106039901,2651118959528,2651121777422,2651121829803,2651506341868,10.614508,2.804904,2.794288,2.781786,384.512065,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
patch_activation_20260710,100,2652651264937,2652653997275,2652657878436,2652661821617,2652674717287,2652677596433,2652677638338,2653062071695,10.556680,2.732338,2.721932,2.800085,384.433357,7F2E31,true,host_end_to_end_monotonic,500100321388,,,,,not_instrumented_in_current_firmware
