vehicle_id,hotpatch_capable,ota_only_protected_min,hotpatch_first_protected_min,exposure_reduction_min,ota_only_ota_finished_min,hotpatch_first_ota_finished_min
vehicle-0197,true,5638,452,5186,5638,5638
vehicle-0198,true,5769,438,5331,5769,5769
vehicle-0199,true,5741,681,5060,5741,5741
vehicle-0200,true,5714,519,5195,5714,5714
vehicle-0201,true,5646,585,5061,5646,5646
vehicle-0202,true,5709,516,5193,5709,5709
vehicle-0203,true,4404,424,3980,4404,4404
vehicle-0204,true,5771,1154,4617,5771,5771
vehicle-0205,true,5658,432,5226,5658,5658
vehicle-0206,true,5670,489,5181,5670,5670
vehicle-0207,true,5772,719,5053,5772,5772
vehicle-0208,true,5704,756,4948,5704,5704
vehicle-0209,true,5715,538,5177,5715,5715
vehicle-0210,true,7154,560,6594,7154,7154
vehicle-0211,true,5723,516,5207,5723,5723
vehicle-0212,true,7129,510,6619,7129,7129
vehicle-0213,true,7145,460,6685,7145,7145
vehicle-0214,true,5734,754,4980,5734,5734
vehicle-0215,true,5743,550,5193,5743,5743
vehicle-0216,true,7149,710,6439,7149,7149
vehicle-0217,true,7103,544,6559,7103,7103
vehicle-0218,true,5748,1064,4684,5748,5748
vehicle-0219,true,5773,510,5263,5773,5773
vehicle-0220,true,7197,420,6777,7197,7197
vehicle-0221,true,5749,573,5176,5749,5749
vehicle-0222,true,7158,550,6608,7158,7158
vehicle-0223,true,7159,752,6407,7159,7159
vehicle-0224,true,5754,821,4933,5754,5754
vehicle-0225,true,5759,461,5298,5759,5759
vehicle-0226,true,5760,673,5087,5760,5760
vehicle-0227,true,7161,894,6267,7161,7161
vehicle-0228,true,5768,564,5204,5768,5768
vehicle-0229,true,7135,622,6513,7135,7135
vehicle-0230,true,7210,879,6331,7210,7210
vehicle-0231,true,7184,468,6716,7184,7184
vehicle-0232,true,7166,1160,6006,7166,7166
vehicle-0233,true,7122,530,6592,7122,7122
vehicle-0234,true,7149,440,6709,7149,7149
vehicle-0235,true,5779,537,5242,5779,5779
vehicle-0236,true,7091,496,6595,7091,7091
vehicle-0237,true,7084,680,6404,7084,7084
vehicle-0238,true,7085,668,6417,7085,7085
vehicle-0239,true,7192,573,6619,7192,7192
vehicle-0240,true,5794,442,5352,5794,5794
vehicle-0241,true,7134,1068,6066,7134,7134
vehicle-0242,true,7199,398,6801,7199,7199
vehicle-0243,true,7078,872,6206,7078,7078
vehicle-0244,true,7131,470,6661,7131,7131
vehicle-0245,true,7182,589,6593,7182,7182
vehicle-0246,true,5799,654,5145,5799,5799
vehicle-0247,true,7103,621,6482,7103,7103
vehicle-0248,true,7080,735,6345,7080,7080
vehicle-0249,true,7190,527,6663,7190,7190
vehicle-0250,true,7111,634,6477,7111,7111
vehicle-0251,true,7102,798,6304,7102,7102
vehicle-0252,true,7109,395,6714,7109,7109
vehicle-0253,true,7169,545,6624,7169,7169
vehicle-0254,true,7125,430,6695,7125,7125
vehicle-0255,true,7147,418,6729,7147,7147
vehicle-0256,true,8596,631,7965,8596,8596
vehicle-0257,true,7199,437,6762,7199,7199
vehicle-0258,true,7151,520,6631,7151,7151
vehicle-0259,true,7182,601,6581,7182,7182
vehicle-0260,true,7154,470,6684,7154,7154
vehicle-0261,true,8583,746,7837,8583,8583
vehicle-0262,true,8506,508,7998,8506,8506
vehicle-0263,true,8593,451,8142,8593,8593
vehicle-0264,true,7156,512,6644,7156,7156
vehicle-0265,true,8607,536,8071,8607,8607
vehicle-0266,true,7170,518,6652,7170,7170
vehicle-0267,true,8629,530,8099,8629,8629
vehicle-0268,true,8505,542,7963,8505,8505
vehicle-0269,true,7176,549,6627,7176,7176
vehicle-0270,true,7192,845,6347,7192,7192
vehicle-0271,true,8515,444,8071,8515,8515
vehicle-0272,true,8570,503,8067,8570,8570
vehicle-0273,true,8583,519,8064,8583,8583
vehicle-0274,true,8507,561,7946,8507,8507
vehicle-0275,true,8509,722,7787,8509,8509
vehicle-0276,true,8514,771,7743,8514,8514
vehicle-0277,true,8526,838,7688,8526,8526
vehicle-0278,true,8634,678,7956,8634,8634
vehicle-0279,true,7196,463,6733,7196,7196
vehicle-0280,true,7199,523,6676,7199,7199
vehicle-0281,true,7201,403,6798,7201,7201
vehicle-0282,true,8612,399,8213,8612,8612
vehicle-0283,true,7214,884,6330,7214,7214
vehicle-0284,true,7215,418,6797,7215,7215
vehicle-0285,true,8627,513,8114,8627,8627
vehicle-0286,true,8520,457,8063,8520,8520
vehicle-0287,true,7221,734,6487,7221,7221
vehicle-0288,true,8572,763,7809,8572,8572
vehicle-0289,true,8629,852,7777,8629,8629
vehicle-0290,true,8608,557,8051,8608,8608
vehicle-0291,true,8653,555,8098,8653,8653
vehicle-0292,true,8652,643,8009,8652,8652
vehicle-0293,true,7227,1033,6194,7227,7227
vehicle-0294,true,8510,528,7982,8510,8510
