time_min,time_hour,strategy,vulnerable_vehicle_count
16860,281.000,ota_only,391
16890,281.500,ota_only,391
16920,282.000,ota_only,391
16950,282.500,ota_only,391
16980,283.000,ota_only,391
17010,283.500,ota_only,391
17040,284.000,ota_only,391
17070,284.500,ota_only,391
17100,285.000,ota_only,391
17130,285.500,ota_only,391
17160,286.000,ota_only,387
17190,286.500,ota_only,374
17220,287.000,ota_only,368
17250,287.500,ota_only,360
17280,288.000,ota_only,345
17310,288.500,ota_only,336
17340,289.000,ota_only,333
17370,289.500,ota_only,333
17400,290.000,ota_only,333
17430,290.500,ota_only,333
17460,291.000,ota_only,333
17490,291.500,ota_only,333
17520,292.000,ota_only,333
17550,292.500,ota_only,333
17580,293.000,ota_only,333
17610,293.500,ota_only,333
17640,294.000,ota_only,333
17670,294.500,ota_only,333
17700,295.000,ota_only,333
17730,295.500,ota_only,333
17760,296.000,ota_only,333
17790,296.500,ota_only,333
17820,297.000,ota_only,333
17850,297.500,ota_only,333
17880,298.000,ota_only,333
17910,298.500,ota_only,333
17940,299.000,ota_only,333
17970,299.500,ota_only,333
18000,300.000,ota_only,333
18030,300.500,ota_only,333
18060,301.000,ota_only,333
18090,301.500,ota_only,333
18120,302.000,ota_only,333
18150,302.500,ota_only,333
18180,303.000,ota_only,333
18210,303.500,ota_only,333
18240,304.000,ota_only,333
18270,304.500,ota_only,333
18300,305.000,ota_only,333
18330,305.500,ota_only,333
18360,306.000,ota_only,333
18390,306.500,ota_only,333
18420,307.000,ota_only,333
18450,307.500,ota_only,333
18480,308.000,ota_only,333
18510,308.500,ota_only,333
18540,309.000,ota_only,333
18570,309.500,ota_only,333
18600,310.000,ota_only,327
18630,310.500,ota_only,316
18660,311.000,ota_only,312
18690,311.500,ota_only,304
18720,312.000,ota_only,296
18750,312.500,ota_only,283
18780,313.000,ota_only,278
18810,313.500,ota_only,278
18840,314.000,ota_only,278
18870,314.500,ota_only,278
18900,315.000,ota_only,278
18930,315.500,ota_only,278
18960,316.000,ota_only,278
18990,316.500,ota_only,278
19020,317.000,ota_only,278
19050,317.500,ota_only,278
19080,318.000,ota_only,278
19110,318.500,ota_only,278
19140,319.000,ota_only,278
19170,319.500,ota_only,278
19200,320.000,ota_only,278
19230,320.500,ota_only,278
19260,321.000,ota_only,278
19290,321.500,ota_only,278
19320,322.000,ota_only,278
19350,322.500,ota_only,278
19380,323.000,ota_only,278
19410,323.500,ota_only,278
19440,324.000,ota_only,278
19470,324.500,ota_only,278
19500,325.000,ota_only,278
19530,325.500,ota_only,278
19560,326.000,ota_only,278
19590,326.500,ota_only,278
19620,327.000,ota_only,278
19650,327.500,ota_only,278
19680,328.000,ota_only,278
19710,328.500,ota_only,278
19740,329.000,ota_only,278
19770,329.500,ota_only,278
19800,330.000,ota_only,278
19830,330.500,ota_only,278
19860,331.000,ota_only,278
19890,331.500,ota_only,278
19920,332.000,ota_only,278
19950,332.500,ota_only,278
19980,333.000,ota_only,278
20010,333.500,ota_only,278
20040,334.000,ota_only,273
20070,334.500,ota_only,268
20100,335.000,ota_only,263
20130,335.500,ota_only,250
20160,336.000,ota_only,240
20190,336.500,ota_only,229
20220,337.000,ota_only,228
20250,337.500,ota_only,228
20280,338.000,ota_only,228
20310,338.500,ota_only,228
20340,339.000,ota_only,228
20370,339.500,ota_only,228
20400,340.000,ota_only,228
20430,340.500,ota_only,228
20460,341.000,ota_only,228
20490,341.500,ota_only,228
20520,342.000,ota_only,228
20550,342.500,ota_only,228
20580,343.000,ota_only,228
20610,343.500,ota_only,228
20640,344.000,ota_only,228
20670,344.500,ota_only,228
20700,345.000,ota_only,228
20730,345.500,ota_only,228
20760,346.000,ota_only,228
20790,346.500,ota_only,228
20820,347.000,ota_only,228
20850,347.500,ota_only,228
20880,348.000,ota_only,228
20910,348.500,ota_only,228
20940,349.000,ota_only,228
20970,349.500,ota_only,228
21000,350.000,ota_only,228
21030,350.500,ota_only,228
21060,351.000,ota_only,228
21090,351.500,ota_only,228
21120,352.000,ota_only,228
21150,352.500,ota_only,228
21180,353.000,ota_only,228
21210,353.500,ota_only,228
21240,354.000,ota_only,228
21270,354.500,ota_only,228
21300,355.000,ota_only,228
21330,355.500,ota_only,228
21360,356.000,ota_only,228
21390,356.500,ota_only,228
21420,357.000,ota_only,228
21450,357.500,ota_only,228
21480,358.000,ota_only,223
21510,358.500,ota_only,218
21540,359.000,ota_only,215
21570,359.500,ota_only,205
21600,360.000,ota_only,194
21630,360.500,ota_only,182
21660,361.000,ota_only,179
21690,361.500,ota_only,179
21720,362.000,ota_only,179
21750,362.500,ota_only,179
21780,363.000,ota_only,179
21810,363.500,ota_only,179
21840,364.000,ota_only,179
21870,364.500,ota_only,179
21900,365.000,ota_only,179
21930,365.500,ota_only,179
21960,366.000,ota_only,179
21990,366.500,ota_only,179
22020,367.000,ota_only,179
22050,367.500,ota_only,179
22080,368.000,ota_only,179
22110,368.500,ota_only,179
22140,369.000,ota_only,179
22170,369.500,ota_only,179
22200,370.000,ota_only,179
22230,370.500,ota_only,179
22260,371.000,ota_only,179
22290,371.500,ota_only,179
22320,372.000,ota_only,179
22350,372.500,ota_only,179
22380,373.000,ota_only,179
22410,373.500,ota_only,179
22440,374.000,ota_only,179
22470,374.500,ota_only,179
22500,375.000,ota_only,179
22530,375.500,ota_only,179
22560,376.000,ota_only,179
22590,376.500,ota_only,179
22620,377.000,ota_only,179
22650,377.500,ota_only,179
22680,378.000,ota_only,179
22710,378.500,ota_only,179
22740,379.000,ota_only,179
22770,379.500,ota_only,179
22800,380.000,ota_only,179
22830,380.500,ota_only,179
22860,381.000,ota_only,179
22890,381.500,ota_only,179
22920,382.000,ota_only,177
22950,382.500,ota_only,172
22980,383.000,ota_only,160
23010,383.500,ota_only,154
23040,384.000,ota_only,139
23070,384.500,ota_only,131
23100,385.000,ota_only,127
23130,385.500,ota_only,127
23160,386.000,ota_only,127
23190,386.500,ota_only,127
23220,387.000,ota_only,127
23250,387.500,ota_only,127
23280,388.000,ota_only,127
23310,388.500,ota_only,127
23340,389.000,ota_only,127
23370,389.500,ota_only,127
23400,390.000,ota_only,127
23430,390.500,ota_only,127
23460,391.000,ota_only,127
23490,391.500,ota_only,127
23520,392.000,ota_only,127
23550,392.500,ota_only,127
23580,393.000,ota_only,127
23610,393.500,ota_only,127
23640,394.000,ota_only,127
23670,394.500,ota_only,127
23700,395.000,ota_only,127
23730,395.500,ota_only,127
23760,396.000,ota_only,127
23790,396.500,ota_only,127
23820,397.000,ota_only,127
23850,397.500,ota_only,127
23880,398.000,ota_only,127
23910,398.500,ota_only,127
23940,399.000,ota_only,127
23970,399.500,ota_only,127
24000,400.000,ota_only,127
24030,400.500,ota_only,127
24060,401.000,ota_only,127
24090,401.500,ota_only,127
24120,402.000,ota_only,127
24150,402.500,ota_only,127
24180,403.000,ota_only,127
24210,403.500,ota_only,127
24240,404.000,ota_only,127
24270,404.500,ota_only,127
