trial,step,before_latency_ms,after_latency_ms,delta_after_minus_before_ms
57,send_security_key,2.963888,2.922261,-0.041627
57,session_reset,2.787122,2.735019,-0.052103
57,write_target,3.072000,2.750244,-0.321756
58,enter_extended_session,3.096026,3.071720,-0.024306
58,read_target_after,3.041549,3.095325,0.053776
58,read_target_before,2.744518,3.208397,0.463879
58,request_security_seed,2.945938,2.694581,-0.251357
58,send_security_key,2.991404,2.737743,-0.253661
58,session_reset,3.015290,2.996711,-0.018579
58,write_target,3.252188,2.847113,-0.405075
59,enter_extended_session,2.878822,2.841107,-0.037715
59,read_target_after,2.869463,3.053980,0.184517
59,read_target_before,3.231795,2.900960,-0.330835
59,request_security_seed,3.104616,3.143096,0.038480
59,send_security_key,2.971360,3.031491,0.060131
59,session_reset,2.706735,2.881265,0.174530
59,write_target,2.509925,2.985885,0.475960
60,enter_extended_session,3.237941,3.112017,-0.125924
60,read_target_after,2.820435,2.914997,0.094562
60,read_target_before,3.058731,3.287876,0.229145
60,request_security_seed,2.695351,3.023459,0.328108
60,send_security_key,3.057194,2.844110,-0.213084
60,session_reset,2.952712,2.830212,-0.122500
60,write_target,3.254143,3.024018,-0.230125
61,enter_extended_session,2.862269,2.821202,-0.041067
61,read_target_after,2.875050,3.326846,0.451796
61,read_target_before,2.864505,3.063617,0.199112
61,request_security_seed,3.070254,3.352966,0.282712
61,send_security_key,3.233332,2.748568,-0.484764
61,session_reset,2.959417,2.680543,-0.278874
61,write_target,2.552737,2.924147,0.371410
62,enter_extended_session,3.063759,2.902775,-0.160984
62,read_target_after,3.042528,2.800669,-0.241859
62,read_target_before,2.822530,3.276072,0.453542
62,request_security_seed,3.188494,2.968006,-0.220488
62,send_security_key,2.852212,2.740466,-0.111746
62,session_reset,2.916535,2.837056,-0.079479
62,write_target,3.024928,3.134575,0.109647
63,enter_extended_session,3.074933,3.231863,0.156930
63,read_target_after,3.041899,2.862896,-0.179003
63,read_target_before,3.149243,2.882592,-0.266651
63,request_security_seed,3.280194,3.029116,-0.251078
63,send_security_key,3.137930,2.866668,-0.271262
63,session_reset,2.607841,2.585351,-0.022490
63,write_target,2.675516,2.929663,0.254147
64,enter_extended_session,3.036801,2.924705,-0.112096
64,read_target_after,2.852631,3.064316,0.211685
64,read_target_before,3.199459,3.118373,-0.081086
64,request_security_seed,2.866110,2.851164,-0.014946
64,send_security_key,3.115092,2.919397,-0.195695
64,session_reset,3.108387,3.101122,-0.007265
64,write_target,3.052166,3.052793,0.000627
65,enter_extended_session,3.042527,3.078703,0.036176
65,read_target_after,3.279287,2.963606,-0.315681
65,read_target_before,2.732645,2.814986,0.082341
65,request_security_seed,3.247789,3.257355,0.009566
65,send_security_key,3.001391,3.108316,0.106925
65,session_reset,2.890834,2.930293,0.039459
65,write_target,2.855216,3.097002,0.241786
66,enter_extended_session,2.941888,2.771615,-0.170273
66,read_target_after,2.896840,2.810726,-0.086114
66,read_target_before,3.036451,3.135972,0.099521
66,request_security_seed,3.001461,3.132270,0.130809
66,send_security_key,2.892720,3.229349,0.336629
66,session_reset,2.858568,3.254213,0.395645
66,write_target,3.247858,2.811494,-0.436364
67,enter_extended_session,3.070604,3.435517,0.364913
67,read_target_after,3.080032,3.240873,0.160841
67,read_target_before,2.998109,2.813240,-0.184869
67,request_security_seed,3.097492,2.908433,-0.189059
67,send_security_key,3.110761,2.703521,-0.407240
67,session_reset,2.896701,2.731247,-0.165454
67,write_target,3.079263,3.001669,-0.077594
68,enter_extended_session,2.900053,3.042596,0.142543
68,read_target_after,2.861222,3.031911,0.170689
68,read_target_before,2.851654,2.871278,0.019624
68,request_security_seed,2.738652,2.821900,0.083248
68,send_security_key,3.132622,3.068227,-0.064395
68,session_reset,3.068788,2.744727,-0.324061
68,write_target,3.163211,3.097002,-0.066209
69,enter_extended_session,3.210773,3.276142,0.065369
69,read_target_after,3.175085,3.027021,-0.148064
69,read_target_before,2.824276,2.760091,-0.064185
69,request_security_seed,3.034776,2.925124,-0.109652
69,send_security_key,2.904243,2.804720,-0.099523
69,session_reset,2.820435,2.620830,-0.199605
69,write_target,2.930434,3.283894,0.353460
70,enter_extended_session,2.644298,2.618944,-0.025354
