vehicle_id,hotpatch_capable,ota_only_protected_min,hotpatch_first_protected_min,exposure_reduction_min,ota_only_ota_finished_min,hotpatch_first_ota_finished_min
vehicle-0370,true,10021,506,9515,10021,10021
vehicle-0371,true,10063,469,9594,10063,10063
vehicle-0372,true,10046,733,9313,10046,10046
vehicle-0373,true,10087,594,9493,10087,10087
vehicle-0374,true,9971,508,9463,9971,9971
vehicle-0375,true,9962,452,9510,9962,9962
vehicle-0376,true,10004,476,9528,10004,10004
vehicle-0377,true,8687,500,8187,8687,8687
vehicle-0378,true,8687,912,7775,8687,8687
vehicle-0379,true,10021,1013,9008,10021,10021
vehicle-0380,true,10051,471,9580,10051,10051
vehicle-0381,true,9961,977,8984,9961,9961
vehicle-0382,true,9963,771,9192,9963,9963
vehicle-0383,true,10042,427,9615,10042,10042
vehicle-0384,true,10026,386,9640,10026,10026
vehicle-0385,true,10026,437,9589,10026,10026
vehicle-0386,true,11533,466,11067,11533,11533
vehicle-0387,true,10049,951,9098,10049,10049
vehicle-0388,true,10064,778,9286,10064,10064
vehicle-0389,true,10066,423,9643,10066,10066
vehicle-0390,true,10067,480,9587,10067,10067
vehicle-0391,true,11417,793,10624,11417,11417
vehicle-0392,true,10071,729,9342,10071,10071
vehicle-0393,true,11437,444,10993,11437,11437
vehicle-0394,true,10071,521,9550,10071,10071
vehicle-0395,true,10095,752,9343,10095,10095
vehicle-0396,true,10087,553,9534,10087,10087
vehicle-0397,true,11448,1059,10389,11448,11448
vehicle-0398,true,11490,394,11096,11490,11490
vehicle-0399,true,11408,1061,10347,11408,11408
vehicle-0400,true,10094,516,9578,10094,10094
vehicle-0401,true,11510,414,11096,11510,11510
vehicle-0402,true,11471,501,10970,11471,11471
vehicle-0403,true,11508,477,11031,11508,11508
vehicle-0404,true,11501,418,11083,11501,11501
vehicle-0405,true,11390,518,10872,11390,11390
vehicle-0406,true,11528,747,10781,11528,11528
vehicle-0407,true,10096,449,9647,10096,10096
vehicle-0408,true,11399,709,10690,11399,11399
vehicle-0409,true,11404,522,10882,11404,11404
